post_did,post_uri,author,handle,author_did,text,created_at
did:plc:pk6efsxke5dfdkwzaa6velve,at://did:plc:pk6efsxke5dfdkwzaa6velve/app.bsky.feed.post/3lshhzfbbuc2w,Derek Sylvester,dereksylvester.bsky.social,did:plc:pk6efsxke5dfdkwzaa6velve,"Vintage Munson No. 3 Typewriter
Digital Painting 36""x36""
#art #digitalart #popart #eastcoastkin #artshare #typewriters #machines #industrialdesign #history #culture",2025-06-25T20:43:18.616Z
did:plc:6khwbcjlzf24liywdat6avgd,at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lshgvsidj226,Louvain Rees ⚰️,hellohistoria.bsky.social,did:plc:6khwbcjlzf24liywdat6avgd,"The undercover vagrant who exposed workhouse life ✍️🏻

www.bbc.co.uk/news/article...

#History",2025-06-25T20:23:24.524Z
did:plc:eczyvsiw3e7ppq3lzlsvot23,at://did:plc:eczyvsiw3e7ppq3lzlsvot23/app.bsky.feed.post/3lsg5enoqpt2o,Carve Her Name,carvehername.bsky.social,did:plc:eczyvsiw3e7ppq3lzlsvot23,"#OnThisDay, 25 June 1678, Elena Lucrezia Cornaro Piscopia receives the Doctorate of Philosophy degree from the University of Padua. She's thought to be be first woman to receive a doctorate in the world.

carvehername.org.uk/...

#WomenInHistory #OTD #History #WomensHistory #ItalianHistory 🗃️",2025-06-25T08:00:04.000Z
did:plc:bhnp7tnocw74jj43jkdidi2n,at://did:plc:bhnp7tnocw74jj43jkdidi2n/app.bsky.feed.post/3lsg5knkzu22c,Guy Thomas 〓〓,guywrites.bsky.social,did:plc:bhnp7tnocw74jj43jkdidi2n,"A little glimpse of where I live. The historical and beautiful city of Winchester. Once the capital of England. The ancient cathedral dominates the vista, with Winchester College on the far left - one of England’s oldest schools, founded in 1382. 😊

#Hampshire #Winchester #history #home #life",2025-06-25T08:03:26.856Z
did:plc:eexrkxc76w3z3bxsdhonvdxn,at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lslcxa4sos2t,Mark Evans Photography  🏴󠁧󠁢󠁷󠁬󠁳󠁿,mark-s2436.bsky.social,did:plc:eexrkxc76w3z3bxsdhonvdxn,"A Red Admiral Butterfly chilling in the car park at Powis Castle and Garden in Powis, Wales. 🏴󠁧󠁢󠁷󠁬󠁳󠁿
#Wales #photography #history
#lepidopterology #butterflies
#entomology #Cymru #photo",2025-06-27T09:23:16.356Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lskum2hzss2g,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944, Normandy. Elements from 9 Cameronians, 91 Anti-Tank Regiment and 7 and 44 Royal Tank Regiment assembling outside Cheux before advancing on Grainville-sur-Odon. #WW2 #HISTORY",2025-06-27T05:06:28.960Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsfwmy7r3c2k,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"Quality is not that good, but *there's sound*! (#OTD in 1943. A Mosquito F Mark II. #WW2 #HISTORY)",2025-06-25T05:59:28.938Z
did:plc:pk6efsxke5dfdkwzaa6velve,at://did:plc:pk6efsxke5dfdkwzaa6velve/app.bsky.feed.post/3lsjxyvoxnk2e,Derek Sylvester,dereksylvester.bsky.social,did:plc:pk6efsxke5dfdkwzaa6velve,"Four Greek Helmets
Digital Painting 36""x48""
#art #digitalart #popart #eastcoastkin #artshare #greek #greece #ancientgreece #greekhistory #helmets #culture #history",2025-06-26T20:34:41.635Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsczrexks22m,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"45 years ago 
Joe Strummer - The Clash gig at Piazza Maggiore, Bologna, Italy, June 1980

#punk #punks #punkrock #theclash #history #punkrockhistory",2025-06-24T02:17:38.512Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidxttfoc2o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944, Bretteville-l'Orgueilleuse, Normandy. A knocked-out Panther from 12 SS Panzer Division. #WW2 #HISTORY",2025-06-26T05:03:31.557Z
